Codigo_asignatura,Semana,Actividad
15976,6,Evaluación de un problema / Evaluation of a problem
15976,7,Evaluación de un test / Evaluation of a test
15976,8,Entrega primera práctica / First lab assignment
15976,13,Evaluación de un problema / Evaluation of a problem
15976,14,Evaluación de un test / Evaluation of a test
15976,15,Entrega segunda práctica / Second lab assignment
17881,*,"Dependiendo del ritmo del curso, se realizarán un total de 9 cuestionarios de 1-minuto para evaluar y obtener realimentación de losdiferentes temas:Semana 2, 3, 4, 6, 7, 8, 10, 11 y 12Nota: Dado que el curso de 1.5 créditos ECTS se configura en 7 sesiones, estos cuestionarios estarán distribuidos en las mismas. Noobstante, se identifica el número de semana de forma absoluta en el cuatrimestre.Depending on the pace of the course, 9 different 1-minute quizzes will be done to assess and get feedback of the different topics:Week 2, 3, 4, 6, 7, 8, 10, 11 y 12Remark: given the fact the course is a 1.5 ECTS course scheduled in 7 sessions, these quizzes will be distributed in the different session.However, the absolute number of the week within the semester is used to indicate the tentative week."
17881,13,"Entrega de caso final práctico (incluyendo presentación y/o video de demo)Nota: considere el número absoluto de semana en el cuatrimestre.Final project delivery (including presentation and/or video)Remark: consider the absolute number of the week within the semester."
18179,3,"TEST 1. Aspectos éticos y legales en la profesión de Ingeniería del SoftwareTEST 1. Legal and ethical issues in the profession of Software Engineering"
18179,3,"Ejercicio Guiado 1. Aspectos Éticos y Legales de la profesión de Ingeniería del Software.Guided Exercise 1. Legal and ethical issues in the profession of Software Engineering"
18179,5,"TEST 2. Prácticas genéricas del desarrollo ágil.TEST 2. Agile Software Development Techniques."
18179,7,"TEST 3. Desarrollo Dirigido por Pruebas, Clases de Equivalencia y Valores LímiteTEST 3. Test Driven Development, Equivalence Classes and Boundary Values"
18179,9,"Ejercicio Guiado 2. Propiedad Colectiva de código y estándar de codificación. Desarrollo dirigido por pruebas y técnicas de prueba.Guided Exercise 2. Collective code ownership & Coding Standards. Test Driven Development & testing techniques."
18179,11,"TEST 4. Análisis sintáctico y pruebas estructuralesTEST 4. Syntax Analysis and structural testing"
19472,4,"Entrega primer ejercicio de programación de sistemas ubicuosSubmission of the first exercise of ubiquitous systems programming"
19472,8,"Entrega segundo ejercicio de programación de sistemas ubicuosSubmission of the second exercise of ubiquitous systems programming"
19472,6,"Entrega P1 (Ideación y diseño)Submission of P1 (Ideation and design)"
19472,11,"Entrega P2 (Prototipado)Submission of P2 (Prototyping)"
19472,14,"Entrega P3 (Evaluación) y defensa del proyectoSubmission of P3 (Evaluation) and defense of the project"
19476,2,Cuaderno de Ejercicios 1 / Workbook 1 Delivery
19476,8,Cuaderno de Ejercicios 2 / Workbook 2 Delivery
19476,14,Cuaderno de Ejercicios 3 / Workbook 3 Delivery
