Codigo_asignatura,Nombre,Créditos,Curso,Cuatrimestre,Tipo de asignatura,Semana,Actividad,Tipo de actividad
13881,Ficheros y bases de datos,6.0,2o,2oCuatrimestre,Formación Básica,13,"Tercer trabajo práctico: Diseño físico y afinamiento (entrega en la semana 13) /Third assignment: Physical Design and DB Tunning (due in week 14th)",Práctica
13882,Interfaces de Usuario,6.0,3o,1erCuatrimestre,Obligatoria,4,"Entrega Práctica 1. Tecnologías Web: HTML 5/CSSSubmission First Laboratory. Web Technologies: HTML 5/CSS",Práctica
13882,Interfaces de Usuario,6.0,3o,1erCuatrimestre,Obligatoria,8,"Entrega Práctica 2. Tecnologías Web: JavaScriptSubmission Second Laboratory. Web Technologies: JavaScript",Práctica
13882,Interfaces de Usuario,6.0,3o,1erCuatrimestre,Obligatoria,10,"Entrega Caso Práctico. Metodología de Diseño: PrototipadoSubmission Case Study. Design Methodology: Prototyping",Práctica
13882,Interfaces de Usuario,6.0,3o,1erCuatrimestre,Obligatoria,14,"Entrega Caso Práctico. Diseño e Implementación de Interfaces de Usuario WebSubmission Case Study. Design and Development of Web User Interfaces",Práctica
13884,Redes de Ordenadores,6.0,3o,1erCuatrimestre,Obligatoria,2,"Test de concepto corto (tc1), capítulos 1 & 2.  Short concept test (tc1), chapters 1 & 2",Examen
13884,Redes de Ordenadores,6.0,3o,1erCuatrimestre,Obligatoria,3,"Prueba de conocimiento (PC1), capítulos 1 & 2. Knowledge test (PC1), chapters 1 & 2",Examen
13884,Redes de Ordenadores,6.0,3o,1erCuatrimestre,Obligatoria,5,"Test de concepto corto (tc2), capítulo 3.  Short concept test (tc2), covering chapter 3",Examen
13884,Redes de Ordenadores,6.0,3o,1erCuatrimestre,Obligatoria,6,"Prueba de conocimiento (PC2), capítulo 3.  Knowledge test (PC2), covering chapter 3",Examen
13884,Redes de Ordenadores,6.0,3o,1erCuatrimestre,Obligatoria,10,"Test de concepto corto (tc3), capítulo 4.  Short concept test (tc3), covering chapter 4",Examen
13884,Redes de Ordenadores,6.0,3o,1erCuatrimestre,Obligatoria,11,"Prueba de conocimiento (PC3), capítulo 3.  Knowledge test (PC3), covering chapter 4",Examen
13884,Redes de Ordenadores,6.0,3o,1erCuatrimestre,Obligatoria,13,"Test de concepto corto (tc4), capítulo 5.  Short concept test (tc4), covering chapter 5",Examen
13884,Redes de Ordenadores,6.0,3o,1erCuatrimestre,Obligatoria,15,"Prueba de conocimiento (PC4), capítulo 3.  Knowledge test (PC4), covering chapter 5",Examen
13888,Arquitectura de Computadores,6.0,3o,1erCuatrimestre,Obligatoria,3,"Lab: Rendimiento y EnergíaLab: Performance and Energy",Laboratorio
13888,Arquitectura de Computadores,6.0,3o,1erCuatrimestre,Obligatoria,5,"Lab: Memoria CachéLab: Cache Memory",Laboratorio
13888,Arquitectura de Computadores,6.0,3o,1erCuatrimestre,Obligatoria,6,"Examen parcial 1Partial exam 1",Examen
13888,Arquitectura de Computadores,6.0,3o,1erCuatrimestre,Obligatoria,9,"Entrega de proyectoProject delivery",Práctica
13888,Arquitectura de Computadores,6.0,3o,1erCuatrimestre,Obligatoria,10,Lab: OpenMP,Laboratorio
13888,Arquitectura de Computadores,6.0,3o,1erCuatrimestre,Obligatoria,11,"Examen parcial 2Partial Exam 2",Examen
13888,Arquitectura de Computadores,6.0,3o,1erCuatrimestre,Obligatoria,12,"Lab: Consistencia de memoriaLab: Memory consistency",Laboratorio
13892,Dirección de proyectos de desarrollo de software,6.0,4o,1erCuatrimestre,Obligatoria,4,Entregable 1: Tema 3 oferta y coste,Otros
13892,Dirección de proyectos de desarrollo de software,6.0,4o,1erCuatrimestre,Obligatoria,5,"Entregable 2: Tema 6 Gestión de la configuración del software, Tema 7 Gestión de Calidad",Otros
13892,Dirección de proyectos de desarrollo de software,6.0,4o,1erCuatrimestre,Obligatoria,6,Entregable 3: Tema 4 Estudio de viabilidad y requisitos,Otros
