Código,Curso,Tipo de asignatura,Cuatrimestre,Nombre,Créditos
15970,1,Formación Básica,2oCuatrimestre,Lógica,6
15971,1,Formación Básica,2oCuatrimestre,Matemática Discreta,6
14360,1,Formación Básica,1erCuatrimestre,Técnicas de expresión oral y escrita,3
13873,1,Formación Básica,2oCuatrimestre,Estructura de datos y algoritmos,6
13875,2o,Formación Básica,1erCuatrimestre,Fundamentos de gestión empresarial,6
13876,2o,Formación Básica,1erCuatrimestre,Estadística,6
15975,2o,Formación Básica,2oCuatrimestre,Cálculo diferencial aplicado,6
13874,2o,Formación Básica,1erCuatrimestre,Estructura de Computadores,6
13877,2o,Formación Básica,1erCuatrimestre,Teoría de autómatas y lenguajes formales,6
15974,2o,Formación Básica,1erCuatrimestre,Ingeniería del Software,6
13878,2o,Formación Básica,2oCuatrimestre,Sistemas Operativos,6
13881,2o,Formación Básica,2oCuatrimestre,Ficheros y bases de datos,6
13883,2o,Formación Básica,2oCuatrimestre,Inteligencia Artificial,6
18179,2o,Formación Básica,2oCuatrimestre,Desarrollo de Software,6
13882,3o,Obligatoria,1erCuatrimestre,Interfaces de Usuario,6
13884,3o,Obligatoria,1erCuatrimestre,Redes de Ordenadores,6
13888,3o,Obligatoria,1erCuatrimestre,Arquitectura de Computadores,6
15973,3o,Obligatoria,1erCuatrimestre,Criptografía y seguridad informática,6
15976,3o,Obligatoria,1erCuatrimestre,Heurística y Optimización,6
13890,3o,Obligatoria,2oCuatrimestre,Procesadores del Lenguaje,6
15754,3o,Obligatoria,2oCuatrimestre,Sistemas Distribuidos,6
15757,3o,Obligatoria,2oCuatrimestre,Aprendizaje Automático,6
17881,3o,Obligatoria,2oCuatrimestre,Hojas de cálculo. Nivel avanzado,1.5
19081,3o,Obligatoria,2oCuatrimestre,Competencias digitales para el uso de la información,1.5
19472,3o,Obligatoria,2oCuatrimestre,Sistemas Interactivos y Ubicuos,6
13457,4o,Obligatoria,1erCuatrimestre,Creatividad e Innovación,3
13468,4o,Obligatoria,1erCuatrimestre,Negociación,3
13471,4o,Obligatoria,1erCuatrimestre,Organización del trabajo personal y del tiempo,3
13892,4o,Obligatoria,1erCuatrimestre,Dirección de proyectos de desarrollo de software,6
14500,4o,Obligatoria,1erCuatrimestre,Comunicación en el entorno profesional,3
14501,4o,Obligatoria,1erCuatrimestre,Gestión de equipos de trabajo y dirección de reuniones,3
14505,4o,Obligatoria,1erCuatrimestre,Emprendimiento,3
14506,4o,Obligatoria,1erCuatrimestre,Análisis y toma de decisiones,3
14508,4o,Obligatoria,1erCuatrimestre,"Leading your team. Liderazgo, motivación y toma de decisiones",3
14510,4o,Obligatoria,1erCuatrimestre,Visual Thinking,3
14511,4o,Obligatoria,1erCuatrimestre,Outside the Box. Pensamiento crítico y análisis de problemas,3
15764,4o,Obligatoria,1erCuatrimestre,Inteligencia artificial en las organizaciones,6
18464,4o,Obligatoria,1erCuatrimestre,Definición de la carrera profesional,3
18999,4o,Obligatoria,1erCuatrimestre,AGILE: cómo abordar la complejidad y transformar la cultura empresarial,3
19473,4o,Obligatoria,1erCuatrimestre,Arquitectura de Datos,6
19474,4o,Obligatoria,1erCuatrimestre,Ingeniería de la Ciberseguridad,6
19475,4o,Obligatoria,2oCuatrimestre,Desarrollo y operación de sistemas software,6
19476,4o,Obligatoria,2oCuatrimestre,Fundamentos de internet de las cosas,6
13898,4o,Obligatoria,1erCuatrimestre,Redes de neuronas artificiales,6
15756,4o,Obligatoria,1erCuatrimestre,Tecnologías informáticas para la web,6
19483,4o,Obligatoria,1erCuatrimestre,Integración y visualización de datos,6
19485,4o,Obligatoria,1erCuatrimestre,Programación Funcional,6
15763,4o,Obligatoria,2oCuatrimestre,Teoría avanzada de la computación,6
18204,4o,Obligatoria,2oCuatrimestre,Técnicas de desarrollo de software,6
19482,4o,Obligatoria,2oCuatrimestre,Ingeniería para la transformación digital,3
19487,4o,Obligatoria,2oCuatrimestre,Seguridad en dispositivos móviles,6
19492,4o,Obligatoria,2oCuatrimestre,Visión Artificial,3
